Brand,Model,Body,Color,Fuel,Kilometers,Engine,Transmission,Price,Gov,Age_of_Car
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,200000,1500,Manual,70.0,Suez,22
Hyundai,Accent,Sedan,Other Color,Benzine,25000,1600,Automatic,260.0,Red Sea,1
Hyundai,Accent,Sedan,Gold,Benzine,200000,1500,Manual,36.0,Sohag,22
Hyundai,Accent,Sedan,Other Color,Benzine,25000,1600,Manual,42.0,Alexandria,24
Hyundai,Accent,Sedan,Silver,Benzine,25000,1500,Manual,55.0,Sharqia,21
Hyundai,Accent,Sedan,Other Color,Benzine,110000,1600,Manual,132.0,Cairo,15
Hyundai,Accent,Sedan,Black,Benzine,25000,1600,Automatic,290.0,Giza,1
Hyundai,Accent,Sedan,Silver,Benzine,200000,1500,Manual,55.0,Cairo,21
Hyundai,Accent,Sedan,Gray,Benzine,85000,1600,Automatic,185.0,Cairo,10
Hyundai,Accent,Sedan,Silver,Benzine,65000,1500,Manual,70.0,Giza,17
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,25000,1500,Manual,45.0,Ismailia,23
Hyundai,Accent,Sedan,Black,Benzine,130000,1600,Automatic,145.0,Giza,15
Hyundai,Accent,Sedan,Gray,Benzine,85000,1600,Automatic,220.0,Monufia,7
Hyundai,Accent,Sedan,Other Color,Benzine,170000,1600,Automatic,150.0,Minya,7
Hyundai,Accent,Sedan,Other Color,Benzine,15000,1600,Automatic,145.0,Fayoum,13
Hyundai,Accent,Sedan,Burgundy,Natural Gas,15000,1500,Manual,75.0,Ismailia,16
Hyundai,Accent,Sedan,Red,Benzine,150000,1600,Automatic,250.0,Giza,3
Hyundai,Accent,Sedan,Gray,Benzine,170000,1600,Manual,135.0,Cairo,11
Hyundai,Accent,Sedan,Burgundy,Benzine,190000,1600,Manual,134.0,Cairo,12
Hyundai,Accent,Sedan,Black,Benzine,170000,1500,Automatic,168.0,Cairo,11
Hyundai,Accent,Sedan,Silver,Natural Gas,200000,1500,Manual,60.0,Suez,17
Hyundai,Accent,Sedan,Burgundy,Benzine,95000,1500,Manual,70.0,Suez,24
Hyundai,Accent,Sedan,Other Color,Benzine,200000,1500,Manual,65.0,Cairo,23
Hyundai,Accent,Sedan,Gray,Benzine,25000,1500,Manual,77.0,Qalyubia,21
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,15000,1500,Manual,75.0,Suez,22
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,200000,1500,Manual,82.0,Sharqia,15
Hyundai,Accent,Sedan,Other Color,Benzine,200000,1500,Manual,75.0,Qalyubia,23
Hyundai,Accent,Sedan,Burgundy,Benzine,150000,1500,Automatic,163.0,Cairo,12
